Jaar,Woonregio,Werkregio,Banen van werknemers
2014,Koggenland,Purmerend,400
2014,Koggenland,Schagen,200
2014,Koggenland,Velsen,200
2014,Koggenland,Zaanstad,400
2014,Medemblik,Alkmaar,900
2014,Medemblik,Almere,100
2014,Medemblik,Amstelveen,100
2014,Medemblik,Amsterdam,1100
2014,Medemblik,Beverwijk,100
2014,Medemblik,Den Helder,300
2014,Medemblik,Deventer,100
2014,Medemblik,Dijk en Waard,500
2014,Medemblik,Drechterland,400
2014,Medemblik,Edam-Volendam,200
2014,Medemblik,Enkhuizen,1000
2014,Medemblik,Haarlem,100
2014,Medemblik,Haarlemmermeer,300
2014,Medemblik,Hollands Kroon,600
2014,Medemblik,Hoorn,3200
2014,Medemblik,Koggenland,400
2014,Medemblik,Lelystad,100
2014,Medemblik,Medemblik,6300
2014,Medemblik,Opmeer,500
2014,Medemblik,Purmerend,400
2014,Medemblik,Schagen,200
2014,Medemblik,Stede Broec,400
2014,Medemblik,Texel,100
2014,Medemblik,Utrecht (gem),100
2014,Medemblik,Velsen,100
2014,Medemblik,Westland,100
2014,Medemblik,Zaanstad,400
2014,Opmeer,Alkmaar,400
2014,Opmeer,Amsterdam,300
2014,Opmeer,Den Helder,100
2014,Opmeer,Dijk en Waard,500
2014,Opmeer,Haarlemmermeer,100
2014,Opmeer,Hollands Kroon,100
2014,Opmeer,Hoorn,500
2014,Opmeer,Koggenland,400
2014,Opmeer,Medemblik,500
2014,Opmeer,Opmeer,1600
2014,Opmeer,Purmerend,100
2014,Opmeer,Schagen,100
2014,Opmeer,Velsen,100
2014,Opmeer,Zaanstad,100
2014,Schagen,'s-Gravenhage,100
2014,Schagen,Alkmaar,2500
2014,Schagen,Amsterdam,900
2014,Schagen,Arnhem,100
2014,Schagen,Bergen (NH.),500
2014,Schagen,Beverwijk,200
2014,Schagen,Castricum,100
2014,Schagen,Den Helder,1500
2014,Schagen,Dijk en Waard,1900
2014,Schagen,Haarlem,300
2014,Schagen,Haarlemmermeer,400
2014,Schagen,Heemskerk,100
2014,Schagen,Heiloo,100
2014,Schagen,Hollands Kroon,900
2014,Schagen,Hoorn,500
2014,Schagen,Koggenland,100
2014,Schagen,Medemblik,200
2014,Schagen,Opmeer,100
2014,Schagen,Purmerend,200
2014,Schagen,Rotterdam,100
2014,Schagen,Schagen,7500
2014,Schagen,Texel,100
2014,Schagen,Utrecht (gem),100
2014,Schagen,Velsen,500
2014,Schagen,Zaanstad,200
2014,Stede Broec,Alkmaar,300
2014,Stede Broec,Almere,100
2014,Stede Broec,Amstelveen,100
2014,Stede Broec,Amsterdam,600
2014,Stede Broec,Den Helder,200
2014,Stede Broec,Dijk en Waard,200
2014,Stede Broec,Drechterland,600
2014,Stede Broec,Edam-Volendam,100
2014,Stede Broec,Enkhuizen,1200
2014,Stede Broec,Haarlemmermeer,300
2014,Stede Broec,Hollands Kroon,200
2014,Stede Broec,Hoorn,1400
2014,Stede Broec,Koggenland,100
2014,Stede Broec,Lelystad,100
2014,Stede Broec,Medemblik,1200
2014,Stede Broec,Purmerend,200
2014,Stede Broec,Schagen,100
2014,Stede Broec,Stede Broec,1800
2014,Stede Broec,Zaanstad,200
2014,Texel,Amsterdam,100
2014,Texel,Den Helder,200
2014,Texel,Dijk en Waard,100
2014,Texel,Haarlemmermeer,100
2014,Texel,Medemblik,100
2014,Texel,Texel,4300
2014,Uitgeest,Alkmaar,400
2014,Uitgeest,Amsterdam,1100
2014,Uitgeest,Bergen (NH.),100
2014,Uitgeest,Beverwijk,800
2014,Uitgeest,Castricum,400
2014,Uitgeest,Den Helder,100
2014,Uitgeest,Dijk en Waard,100
2014,Uitgeest,Haarlem,300
2014,Uitgeest,Haarlemmermeer,300
2014,Uitgeest,Heemskerk,400
2014,Uitgeest,Heiloo,100
2014,Uitgeest,Hoorn,100
2014,Uitgeest,Purmerend,100
2014,Uitgeest,Uitgeest,900
2014,Uitgeest,Velsen,500
2014,Uitgeest,Zaanstad,400
2015,Alkmaar,'s-Gravenhage,400
2015,Alkmaar,Alkmaar,18800
2015,Alkmaar,Almere,100
2015,Alkmaar,Amersfoort,100
2015,Alkmaar,Amstelveen,300
2015,Alkmaar,Amsterdam,5800
2015,Alkmaar,Arnhem,100
2015,Alkmaar,Bergen (NH.),1400
2015,Alkmaar,Beverwijk,700
2015,Alkmaar,Bloemendaal,100
2015,Alkmaar,Castricum,800
2015,Alkmaar,Den Helder,1000
2015,Alkmaar,Diemen,100
2015,Alkmaar,Dijk en Waard,3900
2015,Alkmaar,Drechterland,100
2015,Alkmaar,Edam-Volendam,200
2015,Alkmaar,Eindhoven,100
2015,Alkmaar,Enkhuizen,100
2015,Alkmaar,Haarlem,1600
2015,Alkmaar,Haarlemmermeer,1600
2015,Alkmaar,Heemskerk,200
2015,Alkmaar,Heiloo,900
2015,Alkmaar,Helmond,100
2015,Alkmaar,Hilversum,100
2015,Alkmaar,Hollands Kroon,200
2015,Alkmaar,Hoorn,1000
2015,Alkmaar,Koggenland,300
2015,Alkmaar,Leiden,100
2015,Alkmaar,Medemblik,300
2015,Alkmaar,Nieuwegein,100
2015,Alkmaar,Opmeer,100
2015,Alkmaar,Ouder-Amstel,100
2015,Alkmaar,Purmerend,1600
2015,Alkmaar,Rotterdam,300
2015,Alkmaar,Schagen,1300
2015,Alkmaar,Texel,200
2015,Alkmaar,Tilburg,100
2015,Alkmaar,Uitgeest,200
2015,Alkmaar,Uithoorn,100
2015,Alkmaar,Utrecht (gem),300
2015,Alkmaar,Velsen,1600
2015,Alkmaar,Waterland,100
2015,Alkmaar,Wormerland,100
2015,Alkmaar,Zaanstad,1900
2015,Alkmaar,Zoetermeer,100
2015,Bergen (NH.),'s-Gravenhage,100
2015,Bergen (NH.),Alkmaar,2300
2015,Bergen (NH.),Amstelveen,100
2015,Bergen (NH.),Amsterdam,1000
2015,Bergen (NH.),Bergen (NH.),3000
2015,Bergen (NH.),Beverwijk,200
2015,Bergen (NH.),Castricum,400
2015,Bergen (NH.),Den Helder,100
2015,Bergen (NH.),Dijk en Waard,600
2015,Bergen (NH.),Drechterland,100
2015,Bergen (NH.),Haarlem,200
2015,Bergen (NH.),Haarlemmermeer,400
2015,Bergen (NH.),Heemskerk,100
2015,Bergen (NH.),Heiloo,300
2015,Bergen (NH.),Hoorn,200
2015,Bergen (NH.),Purmerend,100
2015,Bergen (NH.),Rotterdam,100
2015,Bergen (NH.),Schagen,300
2015,Bergen (NH.),Utrecht (gem),100
2015,Bergen (NH.),Velsen,400
2015,Bergen (NH.),Zaanstad,200
2015,Castricum,'s-Gravenhage,100
2015,Castricum,Alkmaar,2100
2015,Castricum,Amstelveen,100
2015,Castricum,Amsterdam,2400
2015,Castricum,Bergen (NH.),300
2015,Castricum,Beverwijk,700
2015,Castricum,Castricum,3200
2015,Castricum,Den Helder,100
2015,Castricum,Dijk en Waard,300
2015,Castricum,Haarlem,800
2015,Castricum,Haarlemmermeer,700
2015,Castricum,Heemskerk,700
2015,Castricum,Heiloo,500
2015,Castricum,Hoorn,100
2015,Castricum,Purmerend,200
2015,Castricum,Rotterdam,100
2015,Castricum,Schagen,100
2015,Castricum,Tilburg,100
2015,Castricum,Uitgeest,400
2015,Castricum,Utrecht (gem),100
2015,Castricum,Velsen,800
2015,Castricum,Zaanstad,600
2015,Den Helder,'s-Gravenhage,100
2015,Den Helder,Alkmaar,1100
2015,Den Helder,Amsterdam,800
2015,Den Helder,Bergen (NH.),100
2015,Den Helder,Beverwijk,200
2015,Den Helder,Den Helder,15500
2015,Den Helder,Dijk en Waard,800
2015,Den Helder,Enkhuizen,100
