Schooljaar;Niveau regio;Regio;Soort hoger onderwijs;Opleidingssector;Aantal
2022/2023;Gemeente;Dijk en Waard;Totaal;Gedrag en maatschappij;417.00
2022/2023;Gemeente;Dijk en Waard;Totaal;Gezondheidszorg;345.00
2022/2023;Gemeente;Dijk en Waard;Totaal;Landbouw en natuurlijke omgeving;55.00
2022/2023;Gemeente;Dijk en Waard;Totaal;Natuur;109.00
2022/2023;Gemeente;Dijk en Waard;Totaal;Onderwijs;338.00
2022/2023;Gemeente;Dijk en Waard;Totaal;Recht;88.00
2022/2023;Gemeente;Dijk en Waard;Totaal;Sectoroverstijgend;13.00
2022/2023;Gemeente;Dijk en Waard;Totaal;Taal en cultuur;104.00
2022/2023;Gemeente;Dijk en Waard;Totaal;Techniek;493.00
2022/2023;Gemeente;Dijk en Waard;Totaal;Totaal energietransitie;602.00
2022/2023;Gemeente;Dijk en Waard;HBO;Totaal;2151.00
2022/2023;Gemeente;Dijk en Waard;HBO;Economie;757.00
2022/2023;Gemeente;Dijk en Waard;HBO;Gedrag en maatschappij;266.00
2022/2023;Gemeente;Dijk en Waard;HBO;Gezondheidszorg;264.00
2022/2023;Gemeente;Dijk en Waard;HBO;Landbouw en natuurlijke omgeving;41.00
2022/2023;Gemeente;Dijk en Waard;HBO;Onderwijs;330.00
2022/2023;Gemeente;Dijk en Waard;HBO;Sectoroverstijgend;2.00
2022/2023;Gemeente;Dijk en Waard;HBO;Taal en cultuur;31.00
2022/2023;Gemeente;Dijk en Waard;HBO;Techniek;460.00
2022/2023;Gemeente;Dijk en Waard;HBO;Totaal energietransitie;460.00
2022/2023;Gemeente;Dijk en Waard;WO;Totaal;657.00
2022/2023;Gemeente;Dijk en Waard;WO;Economie;89.00
2022/2023;Gemeente;Dijk en Waard;WO;Gedrag en maatschappij;151.00
2022/2023;Gemeente;Dijk en Waard;WO;Gezondheidszorg;81.00
2022/2023;Gemeente;Dijk en Waard;WO;Landbouw en natuurlijke omgeving;14.00
2022/2023;Gemeente;Dijk en Waard;WO;Natuur;109.00
2022/2023;Gemeente;Dijk en Waard;WO;Onderwijs;8.00
2022/2023;Gemeente;Dijk en Waard;WO;Recht;88.00
2022/2023;Gemeente;Dijk en Waard;WO;Sectoroverstijgend;11.00
2022/2023;Gemeente;Dijk en Waard;WO;Taal en cultuur;73.00
2022/2023;Gemeente;Dijk en Waard;WO;Techniek;33.00
2022/2023;Gemeente;Dijk en Waard;WO;Totaal energietransitie;142.00
2022/2023;Gemeente;Drechterland;Totaal;Totaal;649.00
2022/2023;Gemeente;Drechterland;Totaal;Economie;156.00
2022/2023;Gemeente;Drechterland;Totaal;Gedrag en maatschappij;93.00
2022/2023;Gemeente;Drechterland;Totaal;Gezondheidszorg;98.00
2022/2023;Gemeente;Drechterland;Totaal;Landbouw en natuurlijke omgeving;30.00
2022/2023;Gemeente;Drechterland;Totaal;Natuur;24.00
2022/2023;Gemeente;Drechterland;Totaal;Onderwijs;90.00
2022/2023;Gemeente;Drechterland;Totaal;Recht;22.00
2022/2023;Gemeente;Drechterland;Totaal;Sectoroverstijgend;4.00
2022/2023;Gemeente;Drechterland;Totaal;Taal en cultuur;23.00
2022/2023;Gemeente;Drechterland;Totaal;Techniek;109.00
2022/2023;Gemeente;Drechterland;Totaal;Totaal energietransitie;133.00
2022/2023;Gemeente;Drechterland;HBO;Totaal;486.00
2022/2023;Gemeente;Drechterland;HBO;Economie;141.00
2022/2023;Gemeente;Drechterland;HBO;Gedrag en maatschappij;63.00
2022/2023;Gemeente;Drechterland;HBO;Gezondheidszorg;71.00
2022/2023;Gemeente;Drechterland;HBO;Landbouw en natuurlijke omgeving;20.00
2022/2023;Gemeente;Drechterland;HBO;Onderwijs;90.00
2022/2023;Gemeente;Drechterland;HBO;Taal en cultuur;3.00
2022/2023;Gemeente;Drechterland;HBO;Techniek;98.00
2022/2023;Gemeente;Drechterland;HBO;Totaal energietransitie;98.00
2022/2023;Gemeente;Drechterland;WO;Totaal;163.00
2022/2023;Gemeente;Drechterland;WO;Economie;15.00
2022/2023;Gemeente;Drechterland;WO;Gedrag en maatschappij;30.00
2022/2023;Gemeente;Drechterland;WO;Gezondheidszorg;27.00
2022/2023;Gemeente;Drechterland;WO;Landbouw en natuurlijke omgeving;10.00
2022/2023;Gemeente;Drechterland;WO;Natuur;24.00
2022/2023;Gemeente;Drechterland;WO;Recht;22.00
2022/2023;Gemeente;Drechterland;WO;Sectoroverstijgend;4.00
2022/2023;Gemeente;Drechterland;WO;Taal en cultuur;20.00
2022/2023;Gemeente;Drechterland;WO;Techniek;11.00
2022/2023;Gemeente;Drechterland;WO;Totaal energietransitie;35.00
2022/2023;Gemeente;Enkhuizen;Totaal;Totaal;445.00
2022/2023;Gemeente;Enkhuizen;Totaal;Economie;112.00
2022/2023;Gemeente;Enkhuizen;Totaal;Gedrag en maatschappij;46.00
2022/2023;Gemeente;Enkhuizen;Totaal;Gezondheidszorg;68.00
2022/2023;Gemeente;Enkhuizen;Totaal;Landbouw en natuurlijke omgeving;15.00
2022/2023;Gemeente;Enkhuizen;Totaal;Natuur;23.00
2022/2023;Gemeente;Enkhuizen;Totaal;Onderwijs;73.00
2022/2023;Gemeente;Enkhuizen;Totaal;Recht;12.00
2022/2023;Gemeente;Enkhuizen;Totaal;Sectoroverstijgend;3.00
2022/2023;Gemeente;Enkhuizen;Totaal;Taal en cultuur;18.00
2022/2023;Gemeente;Enkhuizen;Totaal;Techniek;75.00
2022/2023;Gemeente;Enkhuizen;Totaal;Totaal energietransitie;98.00
2022/2023;Gemeente;Enkhuizen;HBO;Totaal;339.00
2022/2023;Gemeente;Enkhuizen;HBO;Economie;102.00
2022/2023;Gemeente;Enkhuizen;HBO;Gedrag en maatschappij;28.00
2022/2023;Gemeente;Enkhuizen;HBO;Gezondheidszorg;50.00
2022/2023;Gemeente;Enkhuizen;HBO;Landbouw en natuurlijke omgeving;10.00
2022/2023;Gemeente;Enkhuizen;HBO;Onderwijs;72.00
2022/2023;Gemeente;Enkhuizen;HBO;Taal en cultuur;5.00
2022/2023;Gemeente;Enkhuizen;HBO;Techniek;72.00
2022/2023;Gemeente;Enkhuizen;HBO;Totaal energietransitie;72.00
2022/2023;Gemeente;Enkhuizen;WO;Totaal;106.00
2022/2023;Gemeente;Enkhuizen;WO;Economie;10.00
2022/2023;Gemeente;Enkhuizen;WO;Gedrag en maatschappij;18.00
2022/2023;Gemeente;Enkhuizen;WO;Gezondheidszorg;18.00
2022/2023;Gemeente;Enkhuizen;WO;Landbouw en natuurlijke omgeving;5.00
2022/2023;Gemeente;Enkhuizen;WO;Natuur;23.00
2022/2023;Gemeente;Enkhuizen;WO;Onderwijs;1.00
2022/2023;Gemeente;Enkhuizen;WO;Recht;12.00
2022/2023;Gemeente;Enkhuizen;WO;Sectoroverstijgend;3.00
2022/2023;Gemeente;Enkhuizen;WO;Taal en cultuur;13.00
2022/2023;Gemeente;Enkhuizen;WO;Techniek;3.00
2022/2023;Gemeente;Enkhuizen;WO;Totaal energietransitie;26.00
2022/2023;Gemeente;Heiloo;Totaal;Totaal;991.00
2022/2023;Gemeente;Heiloo;Totaal;Economie;294.00
2022/2023;Gemeente;Heiloo;Totaal;Gedrag en maatschappij;156.00
2022/2023;Gemeente;Heiloo;Totaal;Gezondheidszorg;113.00
2022/2023;Gemeente;Heiloo;Totaal;Landbouw en natuurlijke omgeving;19.00
2022/2023;Gemeente;Heiloo;Totaal;Natuur;49.00
2022/2023;Gemeente;Heiloo;Totaal;Onderwijs;81.00
2022/2023;Gemeente;Heiloo;Totaal;Recht;45.00
2022/2023;Gemeente;Heiloo;Totaal;Sectoroverstijgend;15.00
2022/2023;Gemeente;Heiloo;Totaal;Taal en cultuur;48.00
2022/2023;Gemeente;Heiloo;Totaal;Techniek;171.00
2022/2023;Gemeente;Heiloo;Totaal;Totaal energietransitie;220.00
2022/2023;Gemeente;Heiloo;HBO;Totaal;650.00
2022/2023;Gemeente;Heiloo;HBO;Economie;241.00
2022/2023;Gemeente;Heiloo;HBO;Gedrag en maatschappij;74.00
2022/2023;Gemeente;Heiloo;HBO;Gezondheidszorg;75.00
2022/2023;Gemeente;Heiloo;HBO;Landbouw en natuurlijke omgeving;16.00
2022/2023;Gemeente;Heiloo;HBO;Onderwijs;79.00
2022/2023;Gemeente;Heiloo;HBO;Sectoroverstijgend;1.00
