Jaar,Niveau regio,Woonregio,Werkregio,Banen
2019,Corop,Alkmaar en omgeving (C),Groot-Amsterdam (C),17500.0
2019,Corop,Alkmaar en omgeving (C),Groot-Rijnmond (C),600.0
2019,Corop,Alkmaar en omgeving (C),Het Gooi en Vechtstreek (C),300.0
2019,Corop,Alkmaar en omgeving (C),IJmond (C),6600.0
2019,Corop,Alkmaar en omgeving (C),Kop van Noord-Holland (C),7700.0
2019,Corop,Alkmaar en omgeving (C),Midden-Limburg (C),0.0
2019,Corop,Alkmaar en omgeving (C),Midden-Noord-Brabant (C),0.0
2019,Corop,Alkmaar en omgeving (C),Noord-Drenthe (C),0.0
2019,Corop,Alkmaar en omgeving (C),Noord-Friesland (C),0.0
2019,Corop,Alkmaar en omgeving (C),Noord-Limburg (C),0.0
2019,Corop,Alkmaar en omgeving (C),Noord-Overijssel (C),0.0
2019,Corop,Alkmaar en omgeving (C),Noordoost-Noord-Brabant (C),0.0
2019,Corop,Alkmaar en omgeving (C),Oost-Groningen (C),0.0
2019,Corop,Alkmaar en omgeving (C),Oost-Zuid-Holland (C),0.0
2019,Corop,Alkmaar en omgeving (C),Overig Groningen (C),0.0
2019,Corop,Alkmaar en omgeving (C),Overig Zeeland (C),0.0
2019,Corop,Alkmaar en omgeving (C),Twente (C),0.0
2019,Corop,Alkmaar en omgeving (C),Utrecht (C),1400.0
2019,Corop,Alkmaar en omgeving (C),Veluwe (C),0.0
2019,Corop,Alkmaar en omgeving (C),West-Noord-Brabant (C),0.0
2019,Corop,Alkmaar en omgeving (C),Zaanstreek (C),3000.0
2019,Corop,Alkmaar en omgeving (C),Zeeuwsch-Vlaanderen (C),0.0
2019,Corop,Alkmaar en omgeving (C),Zuid-Limburg (C),0.0
2019,Corop,Alkmaar en omgeving (C),Zuidoost-Drenthe (C),0.0
2019,Corop,Alkmaar en omgeving (C),Zuidoost-Friesland (C),0.0
2019,Corop,Alkmaar en omgeving (C),Zuidoost-Noord-Brabant (C),0.0
2019,Corop,Alkmaar en omgeving (C),Zuidoost-Zuid-Holland (C),0.0
2019,Corop,Alkmaar en omgeving (C),Zuidwest-Drenthe (C),0.0
2019,Corop,Alkmaar en omgeving (C),Zuidwest-Friesland (C),0.0
2019,Corop,Alkmaar en omgeving (C),Zuidwest-Gelderland (C),0.0
2019,Corop,Alkmaar en omgeving (C),Zuidwest-Overijssel (C),0.0
2019,Corop,Kop van Noord-Holland (C),Achterhoek (C),0.0
2019,Corop,Kop van Noord-Holland (C),Agglomeratie 's-Gravenhage (C),700.0
2019,Corop,Kop van Noord-Holland (C),Agglomeratie Haarlem (C),1400.0
2019,Corop,Kop van Noord-Holland (C),Agglomeratie Leiden en Bollenstreek (C),200.0
2019,Corop,Kop van Noord-Holland (C),Alkmaar en omgeving (C),14800.0
2019,Corop,Kop van Noord-Holland (C),Arnhem/Nijmegen (C),700.0
2019,Corop,Kop van Noord-Holland (C),Delft en Westland (C),300.0
2019,Corop,Kop van Noord-Holland (C),Delfzijl en omgeving (C),0.0
2019,Corop,Kop van Noord-Holland (C),Flevoland (C),700.0
2019,Corop,Kop van Noord-Holland (C),Groot-Amsterdam (C),17900.0
2019,Corop,Kop van Noord-Holland (C),Groot-Rijnmond (C),600.0
2019,Corop,Kop van Noord-Holland (C),Het Gooi en Vechtstreek (C),700.0
2019,Corop,Kop van Noord-Holland (C),IJmond (C),2900.0
2019,Corop,Kop van Noord-Holland (C),Kop van Noord-Holland (C),78700.0
2019,Corop,Kop van Noord-Holland (C),Midden-Limburg (C),0.0
2019,Corop,Kop van Noord-Holland (C),Midden-Noord-Brabant (C),0.0
2019,Corop,Kop van Noord-Holland (C),Noord-Drenthe (C),0.0
2019,Corop,Kop van Noord-Holland (C),Noord-Friesland (C),0.0
2019,Corop,Kop van Noord-Holland (C),Noord-Limburg (C),0.0
2019,Corop,Kop van Noord-Holland (C),Noord-Overijssel (C),0.0
2019,Corop,Kop van Noord-Holland (C),Noordoost-Noord-Brabant (C),0.0
2019,Corop,Kop van Noord-Holland (C),Oost-Groningen (C),0.0
2019,Corop,Kop van Noord-Holland (C),Oost-Zuid-Holland (C),0.0
2019,Corop,Kop van Noord-Holland (C),Overig Groningen (C),0.0
2019,Corop,Kop van Noord-Holland (C),Overig Zeeland (C),0.0
2019,Corop,Kop van Noord-Holland (C),Twente (C),0.0
2019,Corop,Kop van Noord-Holland (C),Utrecht (C),1900.0
2019,Corop,Kop van Noord-Holland (C),Veluwe (C),400.0
2019,Corop,Kop van Noord-Holland (C),West-Noord-Brabant (C),0.0
2019,Corop,Kop van Noord-Holland (C),Zaanstreek (C),2900.0
2019,Corop,Kop van Noord-Holland (C),Zeeuwsch-Vlaanderen (C),0.0
2019,Corop,Kop van Noord-Holland (C),Zuid-Limburg (C),0.0
2019,Corop,Kop van Noord-Holland (C),Zuidoost-Drenthe (C),0.0
2019,Corop,Kop van Noord-Holland (C),Zuidoost-Friesland (C),0.0
2019,Corop,Kop van Noord-Holland (C),Zuidoost-Noord-Brabant (C),0.0
2019,Corop,Kop van Noord-Holland (C),Zuidoost-Zuid-Holland (C),0.0
2019,Corop,Kop van Noord-Holland (C),Zuidwest-Drenthe (C),0.0
2019,Corop,Kop van Noord-Holland (C),Zuidwest-Friesland (C),0.0
2019,Corop,Kop van Noord-Holland (C),Zuidwest-Gelderland (C),0.0
2019,Corop,Kop van Noord-Holland (C),Zuidwest-Overijssel (C),0.0
2020,Corop,Alkmaar en omgeving (C),Achterhoek (C),0.0
2020,Corop,Alkmaar en omgeving (C),Agglomeratie 's-Gravenhage (C),500.0
2020,Corop,Alkmaar en omgeving (C),Agglomeratie Haarlem (C),2700.0
2020,Corop,Alkmaar en omgeving (C),Agglomeratie Leiden en Bollenstreek (C),100.0
2020,Corop,Alkmaar en omgeving (C),Alkmaar en omgeving (C),41200.0
2020,Corop,Alkmaar en omgeving (C),Arnhem/Nijmegen (C),0.0
2020,Corop,Alkmaar en omgeving (C),Delft en Westland (C),0.0
2020,Corop,Alkmaar en omgeving (C),Delfzijl en omgeving (C),0.0
2020,Corop,Alkmaar en omgeving (C),Flevoland (C),0.0
2020,Corop,Alkmaar en omgeving (C),Groot-Amsterdam (C),17900.0
2020,Corop,Alkmaar en omgeving (C),Groot-Rijnmond (C),500.0
2020,Corop,Alkmaar en omgeving (C),Het Gooi en Vechtstreek (C),600.0
2020,Corop,Alkmaar en omgeving (C),IJmond (C),6500.0
2020,Corop,Alkmaar en omgeving (C),Kop van Noord-Holland (C),7600.0
2020,Corop,Alkmaar en omgeving (C),Midden-Limburg (C),0.0
2020,Corop,Alkmaar en omgeving (C),Midden-Noord-Brabant (C),0.0
2020,Corop,Alkmaar en omgeving (C),Noord-Drenthe (C),0.0
2020,Corop,Alkmaar en omgeving (C),Noord-Friesland (C),0.0
2020,Corop,Alkmaar en omgeving (C),Noord-Limburg (C),0.0
2020,Corop,Alkmaar en omgeving (C),Noord-Overijssel (C),0.0
2020,Corop,Alkmaar en omgeving (C),Noordoost-Noord-Brabant (C),0.0
2020,Corop,Alkmaar en omgeving (C),Oost-Groningen (C),0.0
2020,Corop,Alkmaar en omgeving (C),Oost-Zuid-Holland (C),0.0
2020,Corop,Alkmaar en omgeving (C),Overig Groningen (C),0.0
2020,Corop,Alkmaar en omgeving (C),Overig Zeeland (C),0.0
2020,Corop,Alkmaar en omgeving (C),Twente (C),0.0
2020,Corop,Alkmaar en omgeving (C),Utrecht (C),1300.0
2020,Corop,Alkmaar en omgeving (C),Veluwe (C),0.0
2020,Corop,Alkmaar en omgeving (C),West-Noord-Brabant (C),0.0
2020,Corop,Alkmaar en omgeving (C),Zaanstreek (C),3100.0
2020,Corop,Alkmaar en omgeving (C),Zeeuwsch-Vlaanderen (C),0.0
2020,Corop,Alkmaar en omgeving (C),Zuid-Limburg (C),0.0
2020,Corop,Alkmaar en omgeving (C),Zuidoost-Drenthe (C),0.0
2020,Corop,Alkmaar en omgeving (C),Zuidoost-Friesland (C),0.0
2020,Corop,Alkmaar en omgeving (C),Zuidoost-Noord-Brabant (C),0.0
2020,Corop,Alkmaar en omgeving (C),Zuidoost-Zuid-Holland (C),0.0
2020,Corop,Alkmaar en omgeving (C),Zuidwest-Drenthe (C),0.0
2020,Corop,Alkmaar en omgeving (C),Zuidwest-Friesland (C),0.0
2020,Corop,Alkmaar en omgeving (C),Zuidwest-Gelderland (C),0.0
2020,Corop,Alkmaar en omgeving (C),Zuidwest-Overijssel (C),0.0
2020,Corop,Kop van Noord-Holland (C),Achterhoek (C),0.0
2020,Corop,Kop van Noord-Holland (C),Agglomeratie 's-Gravenhage (C),600.0
2020,Corop,Kop van Noord-Holland (C),Agglomeratie Haarlem (C),1400.0
2020,Corop,Kop van Noord-Holland (C),Agglomeratie Leiden en Bollenstreek (C),300.0
2020,Corop,Kop van Noord-Holland (C),Alkmaar en omgeving (C),16100.0
2020,Corop,Kop van Noord-Holland (C),Arnhem/Nijmegen (C),0.0
2020,Corop,Kop van Noord-Holland (C),Delft en Westland (C),500.0
2020,Corop,Kop van Noord-Holland (C),Delfzijl en omgeving (C),0.0
2020,Corop,Kop van Noord-Holland (C),Flevoland (C),700.0
2020,Corop,Kop van Noord-Holland (C),Groot-Amsterdam (C),16900.0
2020,Corop,Kop van Noord-Holland (C),Groot-Rijnmond (C),600.0
2020,Corop,Kop van Noord-Holland (C),Het Gooi en Vechtstreek (C),700.0
2020,Corop,Kop van Noord-Holland (C),IJmond (C),2800.0
2020,Corop,Kop van Noord-Holland (C),Kop van Noord-Holland (C),77800.0
2020,Corop,Kop van Noord-Holland (C),Midden-Limburg (C),0.0
2020,Corop,Kop van Noord-Holland (C),Midden-Noord-Brabant (C),0.0
2020,Corop,Kop van Noord-Holland (C),Noord-Drenthe (C),0.0
2020,Corop,Kop van Noord-Holland (C),Noord-Friesland (C),0.0
2020,Corop,Kop van Noord-Holland (C),Noord-Limburg (C),0.0
2020,Corop,Kop van Noord-Holland (C),Noord-Overijssel (C),0.0
2020,Corop,Kop van Noord-Holland (C),Noordoost-Noord-Brabant (C),0.0
2020,Corop,Kop van Noord-Holland (C),Oost-Groningen (C),0.0
2020,Corop,Kop van Noord-Holland (C),Oost-Zuid-Holland (C),0.0
2020,Corop,Kop van Noord-Holland (C),Overig Groningen (C),0.0
2020,Corop,Kop van Noord-Holland (C),Overig Zeeland (C),0.0
2020,Corop,Kop van Noord-Holland (C),Twente (C),0.0
2020,Corop,Kop van Noord-Holland (C),Utrecht (C),1700.0
2020,Corop,Kop van Noord-Holland (C),Veluwe (C),700.0
2020,Corop,Kop van Noord-Holland (C),West-Noord-Brabant (C),0.0
2020,Corop,Kop van Noord-Holland (C),Zaanstreek (C),3000.0
2020,Corop,Kop van Noord-Holland (C),Zeeuwsch-Vlaanderen (C),0.0
2020,Corop,Kop van Noord-Holland (C),Zuid-Limburg (C),0.0
2020,Corop,Kop van Noord-Holland (C),Zuidoost-Drenthe (C),0.0
2020,Corop,Kop van Noord-Holland (C),Zuidoost-Friesland (C),0.0
2020,Corop,Kop van Noord-Holland (C),Zuidoost-Noord-Brabant (C),0.0
2020,Corop,Kop van Noord-Holland (C),Zuidoost-Zuid-Holland (C),100.0
2020,Corop,Kop van Noord-Holland (C),Zuidwest-Drenthe (C),0.0
2020,Corop,Kop van Noord-Holland (C),Zuidwest-Friesland (C),0.0
2020,Corop,Kop van Noord-Holland (C),Zuidwest-Gelderland (C),0.0
2020,Corop,Kop van Noord-Holland (C),Zuidwest-Overijssel (C),0.0
2021,Corop,Alkmaar en omgeving (C),Achterhoek (C),0.0
2021,Corop,Alkmaar en omgeving (C),Agglomeratie 's-Gravenhage (C),600.0
2021,Corop,Alkmaar en omgeving (C),Agglomeratie Haarlem (C),1700.0
2021,Corop,Alkmaar en omgeving (C),Agglomeratie Leiden en Bollenstreek (C),300.0
2021,Corop,Alkmaar en omgeving (C),Alkmaar en omgeving (C),45200.0
2021,Corop,Alkmaar en omgeving (C),Arnhem/Nijmegen (C),200.0
2021,Corop,Alkmaar en omgeving (C),Delft en Westland (C),100.0
2021,Corop,Alkmaar en omgeving (C),Delfzijl en omgeving (C),0.0
2021,Corop,Alkmaar en omgeving (C),Flevoland (C),200.0
2021,Corop,Alkmaar en omgeving (C),Groot-Amsterdam (C),15800.0
2021,Corop,Alkmaar en omgeving (C),Groot-Rijnmond (C),600.0
2021,Corop,Alkmaar en omgeving (C),Het Gooi en Vechtstreek (C),200.0
2021,Corop,Alkmaar en omgeving (C),IJmond (C),6800.0
2021,Corop,Alkmaar en omgeving (C),Kop van Noord-Holland (C),8100.0
2021,Corop,Alkmaar en omgeving (C),Midden-Limburg (C),0.0
2021,Corop,Alkmaar en omgeving (C),Midden-Noord-Brabant (C),200.0
2021,Corop,Alkmaar en omgeving (C),Noord-Drenthe (C),0.0
2021,Corop,Alkmaar en omgeving (C),Noord-Friesland (C),0.0
2021,Corop,Alkmaar en omgeving (C),Noord-Limburg (C),0.0
2021,Corop,Alkmaar en omgeving (C),Noord-Overijssel (C),100.0
2021,Corop,Alkmaar en omgeving (C),Noordoost-Noord-Brabant (C),100.0
2021,Corop,Alkmaar en omgeving (C),Oost-Groningen (C),0.0
2021,Corop,Alkmaar en omgeving (C),Oost-Zuid-Holland (C),100.0
2021,Corop,Alkmaar en omgeving (C),Overig Groningen (C),0.0
2021,Corop,Alkmaar en omgeving (C),Overig Zeeland (C),0.0
2021,Corop,Alkmaar en omgeving (C),Twente (C),200.0
2021,Corop,Alkmaar en omgeving (C),Utrecht (C),1200.0
2021,Corop,Alkmaar en omgeving (C),Veluwe (C),200.0
2021,Corop,Alkmaar en omgeving (C),West-Noord-Brabant (C),100.0
2021,Corop,Alkmaar en omgeving (C),Zaanstreek (C),3000.0
2021,Corop,Alkmaar en omgeving (C),Zeeuwsch-Vlaanderen (C),0.0
2021,Corop,Alkmaar en omgeving (C),Zuid-Limburg (C),0.0
2021,Corop,Alkmaar en omgeving (C),Zuidoost-Drenthe (C),0.0
2021,Corop,Alkmaar en omgeving (C),Zuidoost-Friesland (C),0.0
2021,Corop,Alkmaar en omgeving (C),Zuidoost-Noord-Brabant (C),100.0
2021,Corop,Alkmaar en omgeving (C),Zuidoost-Zuid-Holland (C),100.0
2021,Corop,Alkmaar en omgeving (C),Zuidwest-Drenthe (C),0.0
2021,Corop,Alkmaar en omgeving (C),Zuidwest-Friesland (C),0.0
2021,Corop,Alkmaar en omgeving (C),Zuidwest-Gelderland (C),0.0
2021,Corop,Alkmaar en omgeving (C),Zuidwest-Overijssel (C),0.0
2021,Corop,Kop van Noord-Holland (C),Achterhoek (C),0.0
2021,Corop,Kop van Noord-Holland (C),Agglomeratie 's-Gravenhage (C),600.0
2021,Corop,Kop van Noord-Holland (C),Agglomeratie Haarlem (C),900.0
2021,Corop,Kop van Noord-Holland (C),Agglomeratie Leiden en Bollenstreek (C),400.0
2021,Corop,Kop van Noord-Holland (C),Alkmaar en omgeving (C),14500.0
2021,Corop,Kop van Noord-Holland (C),Arnhem/Nijmegen (C),200.0
2021,Corop,Kop van Noord-Holland (C),Delft en Westland (C),400.0
2021,Corop,Kop van Noord-Holland (C),Delfzijl en omgeving (C),0.0
2021,Corop,Kop van Noord-Holland (C),Flevoland (C),1000.0
2021,Corop,Kop van Noord-Holland (C),Groot-Amsterdam (C),17300.0
2021,Corop,Kop van Noord-Holland (C),Groot-Rijnmond (C),700.0
2021,Corop,Kop van Noord-Holland (C),Het Gooi en Vechtstreek (C),400.0
2021,Corop,Kop van Noord-Holland (C),IJmond (C),2600.0
2021,Corop,Kop van Noord-Holland (C),Kop van Noord-Holland (C),82000.0
2021,Corop,Kop van Noord-Holland (C),Midden-Limburg (C),0.0
2021,Corop,Kop van Noord-Holland (C),Midden-Noord-Brabant (C),200.0
2021,Corop,Kop van Noord-Holland (C),Noord-Drenthe (C),0.0
2021,Corop,Kop van Noord-Holland (C),Noord-Friesland (C),200.0
2021,Corop,Kop van Noord-Holland (C),Noord-Limburg (C),0.0
2021,Corop,Kop van Noord-Holland (C),Noord-Overijssel (C),200.0
2021,Corop,Kop van Noord-Holland (C),Noordoost-Noord-Brabant (C),200.0
2021,Corop,Kop van Noord-Holland (C),Oost-Groningen (C),0.0
2021,Corop,Kop van Noord-Holland (C),Oost-Zuid-Holland (C),200.0
2021,Corop,Kop van Noord-Holland (C),Overig Groningen (C),200.0
2021,Corop,Kop van Noord-Holland (C),Overig Zeeland (C),0.0
2021,Corop,Kop van Noord-Holland (C),Twente (C),200.0
2021,Corop,Kop van Noord-Holland (C),Utrecht (C),1600.0
2021,Corop,Kop van Noord-Holland (C),Veluwe (C),400.0
2021,Corop,Kop van Noord-Holland (C),West-Noord-Brabant (C),200.0
2021,Corop,Kop van Noord-Holland (C),Zaanstreek (C),2200.0
2021,Corop,Kop van Noord-Holland (C),Zeeuwsch-Vlaanderen (C),0.0
2021,Corop,Kop van Noord-Holland (C),Zuid-Limburg (C),0.0
2021,Corop,Kop van Noord-Holland (C),Zuidoost-Drenthe (C),0.0
2021,Corop,Kop van Noord-Holland (C),Zuidoost-Friesland (C),0.0
2021,Corop,Kop van Noord-Holland (C),Zuidoost-Noord-Brabant (C),200.0
2021,Corop,Kop van Noord-Holland (C),Zuidoost-Zuid-Holland (C),200.0
2021,Corop,Kop van Noord-Holland (C),Zuidwest-Drenthe (C),0.0
2021,Corop,Kop van Noord-Holland (C),Zuidwest-Friesland (C),100.0
2021,Corop,Kop van Noord-Holland (C),Zuidwest-Gelderland (C),100.0
2021,Corop,Kop van Noord-Holland (C),Zuidwest-Overijssel (C),0.0
2022,Corop,Alkmaar en omgeving (C),Achterhoek (C),0.0
2022,Corop,Alkmaar en omgeving (C),Agglomeratie 's-Gravenhage (C),700.0
2022,Corop,Alkmaar en omgeving (C),Agglomeratie Haarlem (C),1600.0
2022,Corop,Alkmaar en omgeving (C),Agglomeratie Leiden en Bollenstreek (C),400.0
2022,Corop,Alkmaar en omgeving (C),Alkmaar en omgeving (C),46200.0
2022,Corop,Alkmaar en omgeving (C),Arnhem/Nijmegen (C),200.0
2022,Corop,Alkmaar en omgeving (C),Delft en Westland (C),200.0
2022,Corop,Alkmaar en omgeving (C),Delfzijl en omgeving (C),0.0
2022,Corop,Alkmaar en omgeving (C),Flevoland (C),200.0
2022,Corop,Alkmaar en omgeving (C),Groot-Amsterdam (C),16000.0
2022,Corop,Alkmaar en omgeving (C),Groot-Rijnmond (C),600.0
2022,Corop,Alkmaar en omgeving (C),Het Gooi en Vechtstreek (C),400.0
2022,Corop,Alkmaar en omgeving (C),IJmond (C),6900.0
2022,Corop,Alkmaar en omgeving (C),Kop van Noord-Holland (C),7900.0
2022,Corop,Alkmaar en omgeving (C),Midden-Limburg (C),0.0
2022,Corop,Alkmaar en omgeving (C),Midden-Noord-Brabant (C),0.0
2022,Corop,Alkmaar en omgeving (C),Noord-Drenthe (C),0.0
2022,Corop,Alkmaar en omgeving (C),Noord-Friesland (C),0.0
2022,Corop,Alkmaar en omgeving (C),Noord-Limburg (C),0.0
2022,Corop,Alkmaar en omgeving (C),Noord-Overijssel (C),100.0
2022,Corop,Alkmaar en omgeving (C),Noordoost-Noord-Brabant (C),200.0
2022,Corop,Alkmaar en omgeving (C),Oost-Groningen (C),0.0
2022,Corop,Alkmaar en omgeving (C),Oost-Zuid-Holland (C),100.0
2022,Corop,Alkmaar en omgeving (C),Overig Groningen (C),0.0
2022,Corop,Alkmaar en omgeving (C),Overig Zeeland (C),0.0
2022,Corop,Alkmaar en omgeving (C),Twente (C),200.0
2022,Corop,Alkmaar en omgeving (C),Utrecht (C),1400.0
2022,Corop,Alkmaar en omgeving (C),Veluwe (C),200.0
2022,Corop,Alkmaar en omgeving (C),West-Noord-Brabant (C),100.0
2022,Corop,Alkmaar en omgeving (C),Zaanstreek (C),3400.0
2022,Corop,Alkmaar en omgeving (C),Zeeuwsch-Vlaanderen (C),0.0
2022,Corop,Alkmaar en omgeving (C),Zuid-Limburg (C),0.0
2022,Corop,Alkmaar en omgeving (C),Zuidoost-Drenthe (C),0.0
2022,Corop,Alkmaar en omgeving (C),Zuidoost-Friesland (C),0.0
2022,Corop,Alkmaar en omgeving (C),Zuidoost-Noord-Brabant (C),200.0
2022,Corop,Alkmaar en omgeving (C),Zuidoost-Zuid-Holland (C),100.0
2022,Corop,Alkmaar en omgeving (C),Zuidwest-Drenthe (C),0.0
2022,Corop,Alkmaar en omgeving (C),Zuidwest-Friesland (C),0.0
2022,Corop,Alkmaar en omgeving (C),Zuidwest-Gelderland (C),0.0
2022,Corop,Alkmaar en omgeving (C),Zuidwest-Overijssel (C),0.0
2022,Corop,Kop van Noord-Holland (C),Achterhoek (C),0.0
2022,Corop,Kop van Noord-Holland (C),Agglomeratie 's-Gravenhage (C),800.0
2022,Corop,Kop van Noord-Holland (C),Agglomeratie Haarlem (C),900.0
